Location,Carpet Area,Bedroom,Bathroom,Avaliability,Condition(Resale =  0/NewSale = 1),Super Area,Year of Construction,Floor,Flooring,Furnishing,Parking,Swimming Pool,Gymnasium,Power Backup,Jogging Track,Club House,Rain Water Harvesting,Court,Class_Price,Final Price
Huskur,962,2,3,Dec-19,1,1339,Under Construction,0,Granite,Semi Furnished,0,1,1,0,1,1,1,0,Class 14,6600000
Kothanur,1200,2,2,Ready To Move,0,1302,Under Construction,1,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 14,6640000
Mahadevpura,1385,3,3,Dec-22,1,2169,Under Construction,11,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,0,0,Class 28,14000000
Kudlu Gate,1564,3,2,Ready To Move,1,1564,2019,0,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,1,Class 18,8700000
Sarjapur Road,1350,3,2,May-23,1,1804,Under Construction,12,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,0,1,Class 25,12400000
Kadubeesanahalli,2000,4,4,Ready To Move,0,2439,2016,17,Vitrified Tiles,Not Furnished,1,1,1,1,0,1,1,1,Class 36,17800000
Harlur,975,2,2,Ready To Move,0,1174,2018,9,Vitrified Tiles,Semi Furnished,0,1,1,0,0,1,1,1,Class 18,9000000
Whitefield,2275,3,3,Dec-20,0,2741,Under Construction,14,Marble Flooring,Not Furnished,1,1,1,0,0,1,1,1,Class 54,27000000
Basavanagudi,2475,4,4,Nov-23,1,3300,Under Construction,9,Granite,Not Furnished,1,1,1,0,0,1,1,0,Class 113,56500000
Hebbal,2970,4,5,Nov-20,1,3960,Under Construction,9,Granite,Not Furnished,1,1,1,0,1,1,1,1,Class 76,37600000
Hebbal,2231,3,4,Nov-20,1,2975,Under Construction,5,Granite,Not Furnished,1,1,1,0,1,1,1,1,Class 57,28200000
Richmond Road,4001,4,6,Ready To Move,1,5335,2019,3,Granite,Not Furnished,1,1,1,0,0,1,1,0,Class 240,120000000
Harlur,1055,3,3,Ready To Move,0,1255,2015,9,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 20,9600000
RajajiNagar,1500,3,3,Ready To Move,0,1640,2015,15,Vitrified Tiles,Semi Furnished,1,1,1,0,0,1,1,1,Class 44,22000000
Varthur,2000,3,3,Ready To Move,0,2194,2018,6,Vitrified Tiles,Not Furnished,1,1,1,0,0,1,1,1,Class 30,15000000
RajajiNagar,1400,3,3,Ready To Move,0,1750,2015,12,Vitrified Tiles,Semi Furnished,0,1,1,0,0,1,1,1,Class 42,21000000
Bellandur,3480,4,5,Jan-20,0,3750,2019,0,Marble Flooring,Not Furnished,1,1,1,0,0,1,1,1,Class 100,50000000
Doddaballapur Road,1270,2,2,Ready To Move,1,1273,2019,14,Vitrified Tiles,Not Furnished,0,1,1,0,0,1,1,1,Class 14,6900000
Whitefield,1564,3,3,Dec-20,1,1955,Under Construction,14,Vitrified Tiles,Not Furnished,1,1,1,0,1,1,1,0,Class 21,10500000
